auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,f2_mean,f2_std,n_valid_folds,avg_threshold,coin,technique,model
0.9957931904161412,0.001618792626890714,0.9402056446872799,0.02250218039690175,0.8975384615384616,0.07016126816339523,0.7707206055593152,0.02886574231839659,0.827414988471286,0.023459028159353478,0.8675523217909719,0.048414680169256416,5,0.5,DAI,SMOTE_07,XGB
0.9954480273824536,0.000889950163758456,0.9313707022071096,0.017288961892567067,0.8972307692307693,0.03339560258760651,0.7857549627791564,0.07221514843555,0.8352057065741276,0.02872534554464016,0.8706182316411324,0.014069808569675312,5,0.5,DAI,ADASYN,RF
0.9957175283732662,0.001068163881760402,0.9385970811463302,0.016051941372882256,0.9052307692307693,0.059081730573621184,0.7878347578347578,0.02806152108335617,0.8409828526517586,0.019048897269385107,0.8779622413210199,0.040325984984385714,5,0.5,DAI,ADASYN,XGB
0.9948167897676093,0.0007358305622778684,0.9231897026369514,0.01741400853478172,0.8815384615384616,0.04587092774115562,0.7766166982922202,0.09497404669809702,0.821360774818402,0.04121749032101765,0.8552157414264556,0.02547174482342414,5,0.5,DAI,BorderlineSMOTE,RF
0.9955164835164835,0.001209384664620043,0.9358557100989987,0.018937321946971872,0.8658461538461537,0.08953793285595962,0.7728800386632761,0.05877687931752527,0.8130141888762579,0.037852157159760653,0.8428957122266105,0.06330431825723239,5,0.5,DAI,BorderlineSMOTE,XGB
0.9946964510898937,0.0014174958666546011,0.9166339994391013,0.02607572555416751,0.9049230769230769,0.03505532398431043,0.7786649182835796,0.08366347491028206,0.8338804226852925,0.03783260074348368,0.8741519631818923,0.016235384573002914,5,0.5,DAI,SMOTETomek,RF
0.9947288776796974,0.0016716000136341419,0.9237361691708565,0.02763192348380887,0.8658461538461537,0.07494692402039153,0.7583575401239473,0.06147620211956033,0.8047040149393091,0.0259250422333982,0.8391797542260881,0.046633142989834,5,0.5,DAI,SMOTETomek,XGB
0.9883570527832823,0.0019303069999788878,0.8439738926566008,0.04326068928550628,0.8024615384615383,0.08057192016780183,0.6895818977745756,0.07617758171382062,0.735540220361649,0.021774298609792863,0.7723907397395908,0.04299825812106035,5,0.5,DAI,SMOTEENN,RF
0.9875698072419384,0.0025458538158020846,0.8384220457966004,0.030280921433636736,0.834153846153846,0.08330737268210579,0.7051351766513057,0.10945171245971845,0.756140724946695,0.051026278593537956,0.7984286837436834,0.045569158814232874,5,0.5,DAI,SMOTEENN,XGB
0.993223563321924,0.0014812051936344169,0.915491948995301,0.02056965118391811,0.9683076923076923,0.01772905881955439,0.48441136036591637,0.06410254146217056,0.6432189640219239,0.055952137322611575,0.8037468971648305,0.030845696763180223,5,0.5,DAI,BalancedRF,BalancedRF
0.9932617546388037,0.0016345115556517795,0.8950161047970493,0.02781466484942425,0.9923076923076923,0.017200522903844526,0.5331374974232117,0.08373769050519513,0.6900115898760782,0.0732501583537661,0.8420597938797719,0.04471795449084168,5,0.5,DAI,EasyEnsemble,EasyEnsemble
0.9944831561880741,0.000633353887804272,0.9221543250440203,0.012310855279863244,0.770153846153846,0.02974447390374644,0.869373235460192,0.060954693060130495,0.8156506321307431,0.030939111223332885,0.7874985058318271,0.02615455708899545,5,0.6358005038861252,DAI,Thresh_F1,RF
